iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 01, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"746,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SO","SOUTHERN","Utilities","Equity","604,318,909.60","0.20","604,318,909.60","9,697,030.00","62.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","597,327,172.18","0.20","597,327,172.18","12,757,949.00","46.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","596,383,852.68","0.20","596,383,852.68","1,214,829.00","490.92","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","596,106,224.45","0.20","596,106,224.45","1,288,739.00","462.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","590,302,212.57","0.20","590,302,212.57","3,204,159.00","184.23","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","589,770,441.92","0.20","589,770,441.92","2,540,362.00","232.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","578,436,799.85","0.20","578,436,799.85","2,489,935.00","232.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","577,907,288.98","0.20","577,907,288.98","18,726,743.00","30.86","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","569,777,417.28","0.19","569,777,417.28","12,043,488.00","47.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","569,513,283.68","0.19","569,513,283.68","1,975,556.00","288.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","559,465,189.95","0.19","559,465,189.95","1,127,613.00","496.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
