iShares Core S&P 500 ETF
Fund Holdings as of,"May 23, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"742,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","654,310,435.50","0.21","654,310,435.50","12,705,057.00","51.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","638,916,598.88","0.21","638,916,598.88","9,679,088.00","66.01","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","622,209,742.00","0.20","622,209,742.00","10,035,641.00","62.00","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","620,702,450.16","0.20","620,702,450.16","2,518,267.00","246.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","619,836,475.50","0.20","619,836,475.50","6,830,154.00","90.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","604,505,129.76","0.20","604,505,129.76","3,527,691.00","171.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","600,869,143.16","0.19","600,869,143.16","4,083,101.00","147.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","591,163,474.50","0.19","591,163,474.50","5,210,325.00","113.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","589,494,352.63","0.19","589,494,352.63","18,648,983.00","31.61","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","580,240,803.94","0.19","580,240,803.94","12,597,499.00","46.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","572,817,307.20","0.19","572,817,307.20","1,821,938.00","314.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","571,989,727.89","0.19","571,989,727.89","820,869.00","696.81","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","571,420,999.60","0.19","571,420,999.60","3,190,870.00","179.08","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","570,760,084.80","0.19","570,760,084.80","7,408,620.00","77.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","565,380,709.04","0.18","565,380,709.04","1,276,168.00","443.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","561,950,661.41","0.18","561,950,661.41","1,108,537.00","506.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","553,833,953.78","0.18","553,833,953.78","553,833,954.00","1.00","United States","-","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","549,283,911.64","0.18","549,283,911.64","2,462,494.00","223.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
